question,choice1,choice2,choice3,choice4,choice5,answer,difficulty,topic,free,registered
Misrepresentation is a violation of,Flip tax,Exclusive right to sell,Bandit signs,Article 12A,Fair Housing Act of 1902,4,2,Contracts,,
Intentional misrepresentation occurs when a broker,Knowingly fails to disclose a material fact,Makes a false statement about a material fact the broker did not know but should have,Knowingly makes a false statement about a material fact,Is not responsible for the information and refuses to provide it,Has an undisclosed interest in a property relevant to the client,3,2,Contracts,1,1
Intentional concealment occurs when a broker,Knowingly fails to disclose a material fact,Makes a false statement about a material fact the broker did not know but should have,Knowingly makes a false statement about a material fact,Is not responsible for the information and refuses to provide it,Has an undisclosed interest in a property relevant to the client,1,2,Contracts,,
Negligent nondisclosure occurs when a broker,Knowingly fails to disclose a material fact,Makes a false statement about a material fact the broker did not know but should have,Knowingly makes a false statement about a material fact,Is not responsible for the information and refuses to provide it,Has an undisclosed interest in a property relevant to the client,2,2,Contracts,,
Self-dealing occurs when a broker,Knowingly fails to disclose a material fact,Makes a false statement about a material fact the broker did not know but should have,Knowingly makes a false statement about a material fact,Is not responsible for the information and refuses to provide it,Has an undisclosed interest in a property relevant to the client,4,2,Contracts,,
Active fraud occurs when a broker,Knowingly fails to disclose a material fact,Makes a false statement about a material fact the broker did not know but should have,Knowingly makes a false statement about a material fact,Is not responsible for the information and refuses to provide it,Has an undisclosed interest in a property relevant to the client,1,2,Contracts,,
Constructive fraud occurs when a broker,Knowingly fails to disclose a material fact,Makes a false statement about a material fact the broker did not know but should have,Knowingly makes a false statement about a material fact,Is not responsible for the information and refuses to provide it,Has an undisclosed interest in a property relevant to the client,1,2,Contracts,,
"Broker Brokaw informs his client that the brokerage's refunds deposits on rentals during the application process. After depositing the deposit, Brokaw learns the Brokerage has a no refund policy. Brokaw is guilty of",Negligent nondisclosure,Intentional misrepresentation,Intentional concealment,Negligent misrepresentation,Self-dealing,4,2,Contracts,,
Broker Leo owns a 7% stake in a condo and fails to inform his buyer client during the negotiation process. Leo is guilty of,Negligent nondisclosure,Intentional misrepresentation,Intentional concealment,Negligent misrepresentation,Self-dealing,5,2,Contracts,,
"Broker Dennis receivesno offers on a property he represents. When asked by seller Arty if any offers have arrived, Dennis claims several have but were too low. Dennis is guilty of?",Negligent nondisclosure,Intentional misrepresentation,Intentional concealment,Negligent misrepresentation,Self-dealing,2,2,Contracts,,1
"Broker Ophelia knows her client seller's property has significant mold in the walls. When a buyer asks her about the mold, Ophelia states she has to get back to the buyer later but never does. Ophelia is guilty of",Negligent nondisclosure,Intentional misrepresentation,Intentional concealment,Negligent misrepresentation,Self-dealing,3,2,Contracts,,
Intentional misrepresentation is,Active fraud,Passive fraud,Active felony,Passive lie,Upholds OLDCAR,1,2,Contracts,,
Intentional concealment is,Active fraud,Constructive fraud,Constructive eviction,Self-dealing,Smart brokering,2,2,Contracts,,
A well is required to be how many feet away from a septic tank?,100,50,25,30,75,2,2,Environmental Issues,,
The distance between a well and a septic tank needs to be at least how many feet?,100,50,25,30,75,2,2,Environmental Issues,,
A well is required to be how many feet away from an absorption field?,100,50,25,30,75,1,2,Environmental Issues,1,1
The distance between a well and an absorption field needs to be at least how many feet?,100,50,25,30,75,1,2,Environmental Issues,,
Which test is required prior to do installing a septic tank?,Air flow,Rock analysis,Community sentiment,Percolation,Iron ore,4,2,Environmental Issues,,
When is a percolation test required?,After installing a septic tank,Before installing a septic tank,Before removing a septic tank,After removing a septic tank,New construction only,2,2,Environmental Issues,,
Which of the following elements are required for a valid contract?,It needs to be in writing,Meeting of the minds,Must be legal in every country,Written in English,Notarization,2,2,Contracts,,
Which of the following are elements of a valid contract?,Meeting of minds and signature,Lawful objective and competent parties,Cancellation clause and meeting of minds,Lawful objective and proof of delivery,Notarization,2,2,Contracts,,
Which of the following are elements of a valid contract?,Consideration in writing,Lawful objective and notarization,Lawful objective and consideration,Handshake,All costs must be disclosed,3,2,Contracts,,
Which of the following are elements of a valid contract?,"Consideration, Competent parties, lawful objections","Consideration, Competent parties, lawful objective","Consideration, Incompetent parties, lawful objective","Consideration, meeting of the minds, unlawful objective","Consideration, Competent parties, written contract",2,2,Contracts,,
Which of the following are elements of a valid contract?,"Meeting of the mines, lawful objective, consideration and competent parties","Meeting of the minds, lawful objective, inconsideration and competent parties","Meeting of the minds, lawful objective, consideration and incompetent parties","Meeting of the minds, lawful subjective, consideration and competent parties","Meeting of the minds, lawful objective, consideration and competent parties",5,2,Contracts,,
Which of the following are elements of a valid contract?,Consideration in writing,Lawful objective and notarization,"Meeting of the minds, lawful objective, consideration and competent parties",Handshake,All costs must be disclosed,3,2,Contracts,,
Which of the folloing is NOT a required element of a valid contract?,Meeting of the minds,Competent parties,Consideration,Lawful objective,It be in writing,5,2,Contracts,,
Which of the folloing is NOT a required element of a valid contract?,Meeting of the minds,Competent parties,Consideration,Lawful objective,Notarization,5,2,Contracts,,1
Which of the folloing is NOT a required element of a valid contract?,Meeting of the minds,Competent parties,Consideration,Lawful objective,Signatures,5,2,Contracts,,
Which of the folloing is NOT a required element of a valid contract?,Meeting of the minds,Competent parties,Consideration,Lawful objective,Physical presence of all parties,5,2,Contracts,,
Which of the folloing is NOT a required element of a valid contract?,Meeting of the minds,Competent parties,Consideration,Lawful objective,Government approval,5,2,Contracts,1,1
BTU stands for,Basic Thermal Unit,Basic Temperature Unit,British Temperature Unit,British Thermal Units,British Thermal Unity,4,2,Construction,,
BTUs are a measure of,Humidity,Heat energy,Sunlight,Gas pressure,Water pressure,2,2,Construction,,
Heat energy is measured in units of,BTU,Calories,Hertz,Mills,MPH,1,2,Construction,,
Heat energy is measured in units of,None of these,Calories,Hertz,Mills,MPH,1,2,Construction,,
Which of the following types of wells is considered better?,Drilled,Dug,Sunk,Elevated,Sloped,1,2,Construction,,
Which of the following is a device whose output is measured in BTUs?,Blender,Freezer box,Heaters,Computers,Doorbell,3,2,Construction,,
Net listings are,Legal in some New York counties,Illegal in some New York counties,In the best interest of the client,Limit a broker's commission potential,Illegal,5,2,License Law,,
"Broker Xavier agrees to sell a house. He will earn any amount above the $500,000 price the seller wants. This type of arrangement is known as a",Open listing,Open ended listing,Net listing,Homerun listing,Gross listing,3,2,Law of Agency,,1
"Broker Chuck agrees to sell a house. He will earn any amount above the $300,000 price the seller wants. This type of arrangement is known as a",Open listing,Network listing,Net listing,Slam dunk listing,Gross listing,3,2,Law of Agency,,
